time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2010-01-01,1.0,17.8,14.2,15.7,12.6,9.8,10.7,2010-01-01T08:29,2010-01-01T17:46,0.0,0.0,0.0,0.0,42.8,68.0,212.0,7.83,3.2
2010-01-02,61.0,15.6,10.3,13.2,10.0,6.7,8.4,2010-01-02T08:29,2010-01-02T17:47,7.7,7.7,0.0,12.0,41.6,64.8,225.0,5.18,1.82
2010-01-03,61.0,10.0,4.6,7.3,8.3,0.6,4.2,2010-01-03T08:29,2010-01-03T17:48,18.7,18.7,0.0,23.0,18.9,45.4,17.0,1.91,0.29
2010-01-04,71.0,3.9,1.8,2.8,-0.6,-4.0,-2.2,2010-01-04T08:29,2010-01-04T17:48,4.2,3.6,0.49,7.0,27.7,39.6,320.0,6.68,1.12
2010-01-05,3.0,7.5,2.4,4.8,3.9,-1.8,0.9,2010-01-05T08:29,2010-01-05T17:49,0.0,0.0,0.0,0.0,12.9,22.3,120.0,8.47,1.31
2010-01-06,3.0,14.8,7.0,10.9,10.4,3.3,6.8,2010-01-06T08:29,2010-01-06T17:50,0.0,0.0,0.0,0.0,26.5,41.8,176.0,5.81,1.93
2010-01-07,1.0,15.5,13.4,14.3,12.9,9.4,10.8,2010-01-07T08:29,2010-01-07T17:51,0.0,0.0,0.0,0.0,27.9,44.6,199.0,6.48,2.23
2010-01-08,1.0,16.1,12.0,13.8,15.1,9.8,11.7,2010-01-08T08:28,2010-01-08T17:52,0.0,0.0,0.0,0.0,19.4,29.9,159.0,7.93,1.67
2010-01-09,1.0,13.6,10.5,12.1,11.9,8.4,9.9,2010-01-09T08:28,2010-01-09T17:53,0.0,0.0,0.0,0.0,13.4,21.6,153.0,4.86,1.09
2010-01-10,53.0,13.9,9.6,12.0,11.6,7.4,9.2,2010-01-10T08:28,2010-01-10T17:54,3.6,3.6,0.0,6.0,29.5,47.5,173.0,3.46,1.18
2010-01-11,53.0,11.9,9.2,10.6,8.3,4.0,6.5,2010-01-11T08:28,2010-01-11T17:55,2.4,2.4,0.0,10.0,31.7,50.0,222.0,7.16,1.35
2010-01-12,3.0,12.1,7.6,10.3,9.9,5.4,7.7,2010-01-12T08:28,2010-01-12T17:56,0.0,0.0,0.0,0.0,16.4,26.3,178.0,7.47,1.28
2010-01-13,55.0,9.7,7.8,8.8,8.5,5.0,6.6,2010-01-13T08:27,2010-01-13T17:57,12.7,12.7,0.0,22.0,17.9,32.8,77.0,2.82,0.48
2010-01-14,51.0,7.4,5.8,6.5,4.3,1.3,2.1,2010-01-14T08:27,2010-01-14T17:58,2.2,2.2,0.0,10.0,25.5,41.8,30.0,2.47,0.65
2010-01-15,3.0,6.2,5.2,5.7,1.5,0.0,0.8,2010-01-15T08:26,2010-01-15T18:00,0.0,0.0,0.0,0.0,23.5,36.0,38.0,2.91,1.07
2010-01-16,3.0,6.2,4.9,5.5,0.3,-0.9,-0.3,2010-01-16T08:26,2010-01-16T18:01,0.0,0.0,0.0,0.0,29.0,44.3,43.0,3.17,1.44
2010-01-17,51.0,8.7,5.7,7.3,4.5,-0.2,2.5,2010-01-17T08:25,2010-01-17T18:02,1.2,1.2,0.0,8.0,27.3,42.8,55.0,3.34,1.13
2010-01-18,53.0,10.3,6.7,8.2,9.0,4.3,5.8,2010-01-18T08:25,2010-01-18T18:03,0.7,0.7,0.0,2.0,15.1,25.2,52.0,6.99,0.84
2010-01-19,73.0,8.5,1.6,4.8,6.0,-3.6,0.1,2010-01-19T08:24,2010-01-19T18:04,19.6,16.8,1.96,24.0,33.8,57.6,341.0,1.39,0.27
2010-01-20,73.0,3.4,1.5,2.5,-1.1,-3.4,-2.4,2010-01-20T08:24,2010-01-20T18:05,2.1,0.7,0.98,9.0,19.9,34.9,1.0,3.29,0.72
2010-01-21,3.0,4.8,2.4,3.3,1.6,-1.9,-0.9,2010-01-21T08:23,2010-01-21T18:07,0.0,0.0,0.0,0.0,19.5,31.0,19.0,6.58,0.99
2010-01-22,73.0,4.3,2.6,3.4,-1.8,-5.2,-3.4,2010-01-22T08:23,2010-01-22T18:08,21.1,15.9,3.64,13.0,41.8,63.4,52.0,1.35,0.63
2010-01-23,73.0,5.0,-1.6,1.6,-1.3,-8.0,-5.6,2010-01-23T08:22,2010-01-23T18:09,19.7,13.1,4.62,24.0,46.6,74.9,358.0,2.41,0.59
2010-01-24,73.0,0.7,-1.5,-0.4,-6.0,-8.1,-7.1,2010-01-24T08:21,2010-01-24T18:10,5.0,0.4,3.29,23.0,32.6,51.5,0.0,6.21,0.79
2010-01-25,71.0,-0.8,-2.3,-1.8,-7.3,-9.2,-8.4,2010-01-25T08:21,2010-01-25T18:11,0.4,0.0,1.33,4.0,28.8,46.8,6.0,6.29,1.05
2010-01-26,71.0,1.4,-1.3,-0.1,-4.2,-7.0,-5.4,2010-01-26T08:20,2010-01-26T18:13,0.2,0.0,0.35,1.0,25.2,40.3,68.0,9.66,1.2
2010-01-27,73.0,3.0,0.2,1.3,-0.7,-5.9,-3.3,2010-01-27T08:19,2010-01-27T18:14,0.6,0.1,0.35,2.0,23.2,39.6,89.0,8.13,1.11
2010-01-28,73.0,4.3,0.6,2.0,1.3,-2.7,-1.2,2010-01-28T08:18,2010-01-28T18:15,5.4,0.7,3.29,9.0,11.2,15.8,105.0,4.78,0.58
2010-01-29,53.0,8.5,2.3,4.9,5.5,-1.0,1.1,2010-01-29T08:17,2010-01-29T18:16,11.2,11.2,0.0,21.0,20.6,49.3,79.0,2.77,0.43
2010-01-30,53.0,12.5,4.0,8.1,11.5,-0.2,5.7,2010-01-30T08:16,2010-01-30T18:18,3.3,3.3,0.0,9.0,16.9,42.5,109.0,9.34,1.19
2010-01-31,51.0,13.5,9.7,11.3,10.3,5.2,7.8,2010-01-31T08:15,2010-01-31T18:19,0.1,0.1,0.0,1.0,33.5,50.4,190.0,7.34,1.69
2010-02-01,61.0,13.6,9.9,11.4,9.1,4.8,6.6,2010-02-01T08:14,2010-02-01T18:20,4.6,4.6,0.0,3.0,34.5,59.0,203.0,10.27,2.22
2010-02-02,75.0,8.3,1.5,3.2,4.8,-6.7,-2.9,2010-02-02T08:13,2010-02-02T18:21,35.0,23.4,8.12,24.0,43.8,74.5,27.0,1.49,0.37
2010-02-03,73.0,2.1,0.5,1.2,-3.2,-7.3,-5.5,2010-02-03T08:12,2010-02-03T18:22,7.6,1.1,4.55,15.0,38.2,64.8,330.0,6.01,0.97
2010-02-04,51.0,4.7,1.3,2.7,-0.1,-4.5,-2.7,2010-02-04T08:11,2010-02-04T18:24,0.2,0.2,0.0,2.0,23.8,38.9,258.0,7.62,1.25
2010-02-05,71.0,3.8,1.2,2.2,-0.6,-3.9,-2.3,2010-02-05T08:10,2010-02-05T18:25,1.0,0.9,0.07,6.0,18.6,31.0,357.0,6.98,1.01
2010-02-06,3.0,6.2,-2.2,2.4,2.7,-6.4,-1.4,2010-02-06T08:09,2010-02-06T18:26,0.0,0.0,0.0,0.0,14.1,22.0,84.0,11.21,1.26
2010-02-07,53.0,7.6,4.4,6.1,4.1,0.2,2.2,2010-02-07T08:08,2010-02-07T18:28,5.3,5.3,0.0,15.0,17.9,30.6,96.0,2.57,0.76
2010-02-08,53.0,11.2,3.3,8.2,9.7,-1.7,4.7,2010-02-08T08:07,2010-02-08T18:29,4.5,4.5,0.0,9.0,25.8,40.0,81.0,8.57,1.48
2010-02-09,71.0,3.8,1.2,2.3,0.8,-3.8,-1.6,2010-02-09T08:06,2010-02-09T18:30,2.9,1.9,0.84,8.0,22.9,39.6,355.0,4.97,0.65
2010-02-10,53.0,9.8,1.5,5.5,6.5,-1.8,1.8,2010-02-10T08:04,2010-02-10T18:31,1.4,1.4,0.0,5.0,23.9,36.0,80.0,9.74,1.19
2010-02-11,55.0,14.6,8.4,10.6,11.2,4.5,7.0,2010-02-11T08:03,2010-02-11T18:33,4.0,4.0,0.0,7.0,22.7,45.4,144.0,7.35,1.64
2010-02-12,51.0,13.5,10.2,11.4,10.7,6.6,8.2,2010-02-12T08:02,2010-02-12T18:34,0.2,0.2,0.0,1.0,18.4,29.5,176.0,10.66,1.92
2010-02-13,61.0,11.2,9.3,10.1,7.8,4.5,6.8,2010-02-13T08:01,2010-02-13T18:35,12.6,12.6,0.0,13.0,23.4,57.6,176.0,4.74,1.17
2010-02-14,51.0,12.0,7.7,9.8,10.3,4.3,6.8,2010-02-14T07:59,2010-02-14T18:36,0.2,0.2,0.0,1.0,24.5,37.8,180.0,9.14,1.64
2010-02-15,53.0,12.8,5.0,9.3,8.9,1.2,5.6,2010-02-15T07:58,2010-02-15T18:37,3.2,3.2,0.0,15.0,29.8,59.8,273.0,8.67,1.32
2010-02-16,3.0,9.7,4.0,6.3,7.5,0.9,3.7,2010-02-16T07:57,2010-02-16T18:39,0.0,0.0,0.0,0.0,12.6,21.2,55.0,10.34,1.27
2010-02-17,55.0,13.3,5.5,9.0,11.9,3.0,6.6,2010-02-17T07:56,2010-02-17T18:40,2.9,2.9,0.0,6.0,14.1,43.6,91.0,9.31,1.28
2010-02-18,63.0,14.8,9.0,12.0,12.6,6.7,9.7,2010-02-18T07:54,2010-02-18T18:41,11.8,11.8,0.0,11.0,19.0,37.1,198.0,10.54,1.57
2010-02-19,63.0,12.2,9.1,10.5,11.1,6.5,8.6,2010-02-19T07:53,2010-02-19T18:42,14.8,14.8,0.0,6.0,15.9,38.2,200.0,12.24,1.44
2010-02-20,3.0,18.4,11.7,14.8,14.1,7.3,10.4,2010-02-20T07:51,2010-02-20T18:43,0.0,0.0,0.0,0.0,36.9,55.4,199.0,11.79,3.47
2010-02-21,53.0,15.7,8.1,12.8,9.6,4.8,8.2,2010-02-21T07:50,2010-02-21T18:45,2.4,2.4,0.0,6.0,38.3,58.7,220.0,11.33,2.39
2010-02-22,53.0,9.2,5.7,7.3,6.4,2.2,4.4,2010-02-22T07:49,2010-02-22T18:46,1.3,1.3,0.0,2.0,17.2,30.6,311.0,10.92,1.53
2010-02-23,53.0,12.5,5.8,9.4,9.2,3.3,6.3,2010-02-23T07:47,2010-02-23T18:47,1.0,1.0,0.0,2.0,19.2,28.4,188.0,10.86,1.76
2010-02-24,53.0,12.9,10.0,11.0,10.8,7.0,8.6,2010-02-24T07:46,2010-02-24T18:48,4.5,4.5,0.0,17.0,17.9,27.7,190.0,9.79,1.39
2010-02-25,51.0,12.3,8.0,9.8,10.9,5.2,7.9,2010-02-25T07:44,2010-02-25T18:49,2.1,2.1,0.0,10.0,13.8,21.6,53.0,8.81,1.16
2010-02-26,53.0,10.1,7.4,8.5,7.8,5.0,6.3,2010-02-26T07:43,2010-02-26T18:51,1.4,1.4,0.0,6.0,14.2,22.3,4.0,5.23,0.8
2010-02-27,55.0,11.0,6.8,8.8,9.8,5.0,7.0,2010-02-27T07:41,2010-02-27T18:52,3.5,3.5,0.0,9.0,16.8,24.8,110.0,7.02,1.01
2010-02-28,51.0,9.5,7.0,8.2,7.3,4.2,5.4,2010-02-28T07:40,2010-02-28T18:53,0.2,0.2,0.0,2.0,17.9,27.4,28.0,5.08,0.79
2010-03-01,3.0,11.2,4.4,8.2,8.8,1.8,5.9,2010-03-01T07:38,2010-03-01T18:54,0.0,0.0,0.0,0.0,14.8,26.3,196.0,13.76,1.59
2010-03-02,61.0,13.0,6.9,9.6,12.6,4.9,7.9,2010-03-02T07:36,2010-03-02T18:55,9.8,9.8,0.0,15.0,17.2,31.0,323.0,11.48,1.57
2010-03-03,61.0,11.3,6.5,8.8,9.2,3.3,5.9,2010-03-03T07:35,2010-03-03T18:56,7.2,7.2,0.0,10.0,22.5,34.6,0.0,14.59,1.8
2010-03-04,51.0,12.6,4.9,8.9,9.4,2.2,6.0,2010-03-04T07:33,2010-03-04T18:57,0.3,0.3,0.0,2.0,16.4,25.6,117.0,10.93,1.76
2010-03-05,61.0,10.7,7.5,9.2,9.2,5.8,7.5,2010-03-05T07:32,2010-03-05T18:59,10.8,10.8,0.0,14.0,11.5,46.1,15.0,9.94,1.32
2010-03-06,61.0,7.0,3.0,5.0,5.4,-2.1,0.9,2010-03-06T07:30,2010-03-06T19:00,12.1,12.1,0.0,19.0,24.5,45.4,12.0,5.85,0.92
2010-03-07,3.0,6.9,-0.1,3.8,1.9,-3.9,-1.1,2010-03-07T07:29,2010-03-07T19:01,0.0,0.0,0.0,0.0,31.7,49.3,42.0,15.57,2.12
2010-03-08,73.0,7.3,2.5,5.3,2.2,-3.7,-0.9,2010-03-08T07:27,2010-03-08T19:02,8.6,8.0,0.42,14.0,39.0,63.0,58.0,6.11,1.02
2010-03-09,53.0,8.6,4.9,7.1,5.6,-0.4,2.8,2010-03-09T07:25,2010-03-09T19:03,6.4,6.4,0.0,20.0,28.5,46.4,23.0,4.77,0.78
2010-03-10,51.0,6.5,4.9,5.6,0.2,-1.5,-0.4,2010-03-10T07:24,2010-03-10T19:04,0.2,0.2,0.0,2.0,33.7,56.2,53.0,6.91,1.46
2010-03-11,53.0,9.0,5.3,7.1,6.4,-1.1,3.6,2010-03-11T07:22,2010-03-11T19:05,1.1,1.1,0.0,4.0,31.6,50.4,48.0,8.1,1.2
2010-03-12,51.0,11.6,5.1,8.5,9.5,2.6,6.1,2010-03-12T07:21,2010-03-12T19:06,0.1,0.1,0.0,1.0,15.9,26.6,221.0,14.28,1.69
2010-03-13,51.0,10.2,6.1,7.9,7.4,2.4,4.7,2010-03-13T07:19,2010-03-13T19:08,0.9,0.9,0.0,3.0,17.8,28.1,39.0,13.98,1.87
2010-03-14,51.0,9.2,5.3,6.9,5.6,1.8,3.3,2010-03-14T07:17,2010-03-14T19:09,0.2,0.2,0.0,1.0,16.8,24.8,42.0,12.51,1.8
2010-03-15,3.0,8.8,4.1,6.5,5.1,0.9,3.0,2010-03-15T07:16,2010-03-15T19:10,0.0,0.0,0.0,0.0,14.5,27.7,302.0,14.43,1.94
2010-03-16,51.0,7.8,4.1,6.2,4.6,-0.2,2.2,2010-03-16T07:14,2010-03-16T19:11,0.1,0.1,0.0,1.0,19.0,32.4,272.0,15.97,2.2
2010-03-17,51.0,9.2,3.6,6.4,6.3,-1.7,2.1,2010-03-17T07:12,2010-03-17T19:12,0.3,0.3,0.0,3.0,24.8,40.7,7.0,14.43,1.92
2010-03-18,1.0,7.3,1.2,4.4,4.9,-2.5,0.9,2010-03-18T07:11,2010-03-18T19:13,0.0,0.0,0.0,0.0,17.4,30.6,75.0,19.62,2.39
2010-03-19,0.0,10.6,2.4,6.9,9.0,-1.0,4.0,2010-03-19T07:09,2010-03-19T19:14,0.0,0.0,0.0,0.0,11.9,20.9,93.0,19.39,2.64
2010-03-20,1.0,10.4,3.3,7.4,8.3,0.3,4.7,2010-03-20T07:07,2010-03-20T19:15,0.0,0.0,0.0,0.0,11.6,20.2,196.0,19.04,2.31
2010-03-21,1.0,13.5,6.4,9.9,10.3,3.3,6.8,2010-03-21T07:05,2010-03-21T19:16,0.0,0.0,0.0,0.0,18.4,30.2,215.0,19.88,2.75
2010-03-22,1.0,14.1,9.2,11.4,11.8,5.4,8.5,2010-03-22T07:04,2010-03-22T19:17,0.0,0.0,0.0,0.0,18.8,30.2,222.0,19.65,2.81
2010-03-23,1.0,15.5,8.0,11.0,13.6,5.1,8.2,2010-03-23T07:02,2010-03-23T19:18,0.0,0.0,0.0,0.0,26.5,39.6,50.0,18.95,2.53
2010-03-24,3.0,10.1,8.4,9.1,7.8,4.9,6.1,2010-03-24T07:00,2010-03-24T19:20,0.0,0.0,0.0,0.0,20.7,34.6,24.0,6.66,0.97
2010-03-25,3.0,11.6,7.9,9.2,7.7,3.4,5.1,2010-03-25T06:59,2010-03-25T19:21,0.0,0.0,0.0,0.0,26.2,40.3,40.0,12.71,1.88
2010-03-26,3.0,10.3,6.8,8.3,6.4,2.7,3.9,2010-03-26T06:57,2010-03-26T19:22,0.0,0.0,0.0,0.0,25.0,40.0,43.0,15.41,2.12
2010-03-27,3.0,11.1,5.7,8.0,10.4,2.4,5.3,2010-03-27T06:56,2010-03-27T19:23,0.0,0.0,0.0,0.0,18.3,30.2,51.0,18.13,2.42
2010-03-28,55.0,14.8,4.3,9.5,14.0,1.4,7.4,2010-03-28T06:54,2010-03-28T19:24,2.0,2.0,0.0,4.0,18.1,38.5,193.0,18.02,2.49
2010-03-29,55.0,10.2,7.2,8.5,6.7,2.9,4.9,2010-03-29T06:52,2010-03-29T19:25,9.4,9.4,0.0,20.0,23.9,36.4,263.0,5.56,0.93
2010-03-30,2.0,14.5,8.7,11.3,12.4,5.8,8.6,2010-03-30T06:51,2010-03-30T19:26,0.0,0.0,0.0,0.0,20.3,32.4,218.0,19.44,2.62
2010-03-31,51.0,16.4,10.7,13.2,14.6,7.4,10.7,2010-03-31T06:49,2010-03-31T19:27,0.6,0.6,0.0,3.0,18.2,33.5,166.0,14.44,2.71
2010-04-01,51.0,16.6,12.3,14.0,17.0,9.2,12.3,2010-04-01T06:47,2010-04-01T19:28,1.2,1.2,0.0,4.0,16.6,29.9,214.0,17.26,2.86
2010-04-02,53.0,16.4,8.4,12.9,16.5,6.6,11.9,2010-04-02T06:46,2010-04-02T19:29,2.7,2.7,0.0,5.0,14.0,16.9,118.0,14.83,2.37
2010-04-03,51.0,13.7,8.0,11.2,13.9,6.8,10.5,2010-04-03T06:44,2010-04-03T19:30,1.3,1.3,0.0,8.0,8.6,15.5,322.0,17.07,2.21
2010-04-04,3.0,16.2,7.7,11.1,15.0,5.9,9.1,2010-04-04T06:42,2010-04-04T19:31,0.0,0.0,0.0,0.0,18.3,27.4,55.0,20.85,3.04
2010-04-05,1.0,16.8,8.6,12.4,17.7,6.4,11.0,2010-04-05T06:41,2010-04-05T19:32,0.0,0.0,0.0,0.0,15.9,24.1,49.0,21.84,3.34
2010-04-06,51.0,14.5,8.7,11.5,14.0,7.5,10.4,2010-04-06T06:39,2010-04-06T19:33,0.9,0.9,0.0,4.0,11.4,22.3,313.0,16.97,2.37
2010-04-07,61.0,11.3,8.9,9.9,7.3,5.2,6.4,2010-04-07T06:37,2010-04-07T19:34,12.9,12.9,0.0,17.0,27.2,45.0,318.0,5.68,1.03
2010-04-08,51.0,13.3,8.4,10.6,11.3,6.4,8.1,2010-04-08T06:36,2010-04-08T19:35,0.1,0.1,0.0,1.0,19.1,35.3,352.0,16.1,2.13
2010-04-09,3.0,13.0,7.7,9.8,10.7,5.7,7.4,2010-04-09T06:34,2010-04-09T19:37,0.0,0.0,0.0,0.0,15.4,25.9,25.0,17.94,2.53
2010-04-10,1.0,13.7,6.2,10.0,12.5,4.1,7.7,2010-04-10T06:32,2010-04-10T19:38,0.0,0.0,0.0,0.0,15.5,23.4,63.0,21.14,3.09
2010-04-11,3.0,12.0,7.3,9.5,7.6,3.7,5.2,2010-04-11T06:31,2010-04-11T19:39,0.0,0.0,0.0,0.0,28.1,44.3,50.0,18.93,2.56
2010-04-12,3.0,13.0,8.4,10.4,9.1,4.4,6.5,2010-04-12T06:29,2010-04-12T19:40,0.0,0.0,0.0,0.0,24.2,39.2,43.0,18.5,2.74
2010-04-13,0.0,14.5,7.5,10.6,12.4,4.5,7.3,2010-04-13T06:28,2010-04-13T19:41,0.0,0.0,0.0,0.0,20.6,32.0,62.0,23.97,3.49
2010-04-14,3.0,13.0,8.1,10.4,11.1,4.7,7.9,2010-04-14T06:26,2010-04-14T19:42,0.0,0.0,0.0,0.0,18.7,30.2,63.0,11.89,1.88
2010-04-15,3.0,16.8,8.4,12.6,16.4,7.3,11.8,2010-04-15T06:25,2010-04-15T19:43,0.0,0.0,0.0,0.0,9.2,13.7,77.0,19.21,2.87
2010-04-16,1.0,18.1,10.1,13.9,19.5,8.9,13.3,2010-04-16T06:23,2010-04-16T19:44,0.0,0.0,0.0,0.0,14.8,21.6,96.0,22.35,3.43
2010-04-17,51.0,16.3,10.9,13.2,15.2,7.9,11.1,2010-04-17T06:22,2010-04-17T19:45,0.3,0.3,0.0,2.0,23.5,34.6,37.0,21.03,2.87
2010-04-18,53.0,15.2,10.3,12.4,11.8,6.7,8.5,2010-04-18T06:20,2010-04-18T19:46,4.6,4.6,0.0,9.0,29.9,49.0,56.0,20.46,2.87
2010-04-19,53.0,16.1,10.2,13.0,17.3,7.0,12.1,2010-04-19T06:19,2010-04-19T19:47,1.0,1.0,0.0,2.0,22.2,37.4,45.0,21.5,3.11
2010-04-20,53.0,17.2,11.7,14.2,16.0,11.2,13.2,2010-04-20T06:17,2010-04-20T19:48,5.4,5.4,0.0,12.0,20.6,41.0,217.0,16.7,2.32
2010-04-21,51.0,14.7,9.8,12.3,12.7,7.9,10.6,2010-04-21T06:16,2010-04-21T19:49,2.5,2.5,0.0,12.0,18.0,30.6,2.0,15.63,2.28
2010-04-22,1.0,16.6,9.7,13.3,16.2,7.7,11.6,2010-04-22T06:14,2010-04-22T19:50,0.0,0.0,0.0,0.0,17.6,28.1,222.0,23.35,3.28
2010-04-23,1.0,18.4,10.0,14.6,19.2,8.1,13.4,2010-04-23T06:13,2010-04-23T19:51,0.0,0.0,0.0,0.0,18.0,25.9,123.0,24.14,3.99
2010-04-24,3.0,18.1,13.0,15.4,19.6,11.5,14.6,2010-04-24T06:11,2010-04-24T19:52,0.0,0.0,0.0,0.0,15.5,22.7,38.0,21.42,3.64
2010-04-25,2.0,17.7,11.4,13.9,17.1,7.6,11.8,2010-04-25T06:10,2010-04-25T19:54,0.0,0.0,0.0,0.0,28.3,42.8,37.0,21.92,3.28
2010-04-26,3.0,15.9,11.6,13.2,11.3,6.9,8.7,2010-04-26T06:09,2010-04-26T19:55,0.0,0.0,0.0,0.0,35.1,55.8,48.0,22.19,3.47
2010-04-27,3.0,13.8,10.2,11.9,8.6,5.0,6.6,2010-04-27T06:07,2010-04-27T19:56,0.0,0.0,0.0,0.0,37.8,58.7,44.0,16.8,2.92
2010-04-28,3.0,13.7,9.9,11.5,10.0,5.0,6.8,2010-04-28T06:06,2010-04-28T19:57,0.0,0.0,0.0,0.0,29.3,46.4,41.0,18.94,3.3
2010-04-29,1.0,14.8,9.3,11.6,11.7,5.2,7.5,2010-04-29T06:04,2010-04-29T19:58,0.0,0.0,0.0,0.0,27.9,43.9,42.0,25.61,3.89
2010-04-30,0.0,15.9,9.2,12.3,12.7,6.4,8.9,2010-04-30T06:03,2010-04-30T19:59,0.0,0.0,0.0,0.0,25.2,40.3,45.0,26.14,4.02
2010-05-01,0.0,17.1,9.8,13.0,15.8,7.4,10.6,2010-05-01T06:02,2010-05-01T20:00,0.0,0.0,0.0,0.0,18.3,32.0,40.0,26.38,3.98
2010-05-02,0.0,17.1,10.0,13.4,17.9,8.5,12.4,2010-05-02T06:00,2010-05-02T20:01,0.0,0.0,0.0,0.0,12.0,22.0,27.0,26.33,3.91
2010-05-03,2.0,19.0,10.5,14.2,19.1,9.3,13.1,2010-05-03T05:59,2010-05-03T20:02,0.0,0.0,0.0,0.0,18.6,27.4,49.0,25.89,4.04
2010-05-04,0.0,18.6,11.1,14.4,18.3,9.2,12.7,2010-05-04T05:58,2010-05-04T20:03,0.0,0.0,0.0,0.0,18.3,29.5,48.0,26.65,3.97
2010-05-05,1.0,18.3,11.2,14.2,18.4,9.4,12.6,2010-05-05T05:57,2010-05-05T20:04,0.0,0.0,0.0,0.0,18.6,29.9,47.0,26.34,3.82
2010-05-06,2.0,19.0,11.2,14.6,19.5,8.9,13.2,2010-05-06T05:56,2010-05-06T20:05,0.0,0.0,0.0,0.0,18.9,26.6,53.0,25.21,3.85
2010-05-07,1.0,21.2,12.4,16.6,22.6,11.2,17.0,2010-05-07T05:54,2010-05-07T20:06,0.0,0.0,0.0,0.0,16.9,27.0,51.0,26.39,4.22
2010-05-08,51.0,19.4,13.1,16.2,21.0,12.9,16.7,2010-05-08T05:53,2010-05-08T20:07,0.2,0.2,0.0,1.0,12.5,23.4,16.0,21.39,3.46
2010-05-09,2.0,21.7,14.0,17.3,23.6,13.8,16.8,2010-05-09T05:52,2010-05-09T20:08,0.0,0.0,0.0,0.0,20.6,37.4,43.0,24.21,3.93
2010-05-10,2.0,19.6,11.2,16.0,19.7,10.1,15.7,2010-05-10T05:51,2010-05-10T20:09,0.0,0.0,0.0,0.0,12.4,24.5,216.0,22.66,3.57
2010-05-11,0.0,21.6,13.2,18.3,23.0,12.6,18.6,2010-05-11T05:50,2010-05-11T20:10,0.0,0.0,0.0,0.0,9.4,15.1,162.0,26.46,4.54
2010-05-12,1.0,25.4,15.9,20.4,26.8,15.5,19.9,2010-05-12T05:49,2010-05-12T20:11,0.0,0.0,0.0,0.0,16.1,24.5,86.0,26.18,5.42
2010-05-13,2.0,25.0,16.7,20.9,27.3,16.1,21.4,2010-05-13T05:48,2010-05-13T20:12,0.0,0.0,0.0,0.0,11.5,20.5,106.0,25.43,5.07
2010-05-14,1.0,23.9,17.5,21.0,25.0,17.9,21.6,2010-05-14T05:47,2010-05-14T20:13,0.0,0.0,0.0,0.0,16.1,28.8,209.0,26.4,4.84
2010-05-15,55.0,23.3,16.6,19.9,22.2,16.7,19.4,2010-05-15T05:46,2010-05-15T20:14,2.6,2.6,0.0,4.0,23.1,37.1,168.0,12.18,2.94
2010-05-16,0.0,22.7,19.1,20.8,20.9,14.5,17.6,2010-05-16T05:45,2010-05-16T20:15,0.0,0.0,0.0,0.0,33.9,54.0,240.0,27.59,6.55
2010-05-17,1.0,20.8,17.0,18.6,17.8,13.1,14.9,2010-05-17T05:44,2010-05-17T20:16,0.0,0.0,0.0,0.0,34.4,54.4,230.0,23.19,5.32
2010-05-18,53.0,17.4,13.3,15.5,15.9,13.1,14.3,2010-05-18T05:43,2010-05-18T20:17,3.6,3.6,0.0,10.0,16.7,32.8,238.0,18.28,3.05
2010-05-19,2.0,18.4,14.9,16.5,18.1,13.2,15.4,2010-05-19T05:42,2010-05-19T20:18,0.0,0.0,0.0,0.0,14.8,23.8,235.0,21.07,3.67
2010-05-20,55.0,17.7,13.8,15.5,18.9,13.7,15.5,2010-05-20T05:41,2010-05-20T20:19,10.1,10.1,0.0,18.0,9.0,19.4,30.0,17.46,2.9
2010-05-21,51.0,19.4,12.0,16.2,19.7,11.5,15.6,2010-05-21T05:41,2010-05-21T20:20,0.3,0.3,0.0,2.0,14.7,25.6,63.0,19.04,3.35
2010-05-22,53.0,17.1,14.1,15.8,16.3,14.1,15.0,2010-05-22T05:40,2010-05-22T20:21,4.2,4.2,0.0,10.0,17.1,27.7,43.0,13.66,2.41
2010-05-23,55.0,18.5,14.0,16.4,19.5,12.8,16.1,2010-05-23T05:39,2010-05-23T20:22,5.3,5.3,0.0,16.0,14.0,22.0,346.0,18.94,3.12
2010-05-24,1.0,20.5,13.3,17.4,21.1,12.9,17.2,2010-05-24T05:38,2010-05-24T20:23,0.0,0.0,0.0,0.0,15.7,26.6,216.0,25.25,4.12
2010-05-25,1.0,21.5,14.9,18.6,22.2,14.5,18.5,2010-05-25T05:38,2010-05-25T20:24,0.0,0.0,0.0,0.0,16.9,28.1,226.0,26.88,4.46
2010-05-26,0.0,22.7,16.9,19.8,24.5,16.7,20.4,2010-05-26T05:37,2010-05-26T20:24,0.0,0.0,0.0,0.0,14.8,24.1,222.0,27.42,4.6
2010-05-27,0.0,24.5,18.1,21.5,27.2,18.2,22.7,2010-05-27T05:36,2010-05-27T20:25,0.0,0.0,0.0,0.0,8.0,14.8,211.0,28.4,5.24
